experiment,group,Label,F1,F1_bCI_lower,F1_bCI_upper,F1_chance,Present,Selected,Hits,Misses,False Alarms,Correct Rejections,Recall,Precision
felt touch,ASD,attention,0.6470588235294117,0.5306813743423279,0.7499447715852054,0.2857142857142857,35,67,33,2,34,141,0.9428571428571428,0.4925373134328358
felt touch,ASD,love,0.4857142857142857,0.3225806451612903,0.6279069767441862,0.2857142857142857,35,35,17,18,18,157,0.4857142857142857,0.4857142857142857
felt touch,ASD,happiness,0.40816326530612246,0.21621621621621623,0.5613678525322027,0.2857142857142857,35,14,10,25,4,171,0.2857142857142857,0.7142857142857143
felt touch,ASD,calming,0.4883720930232558,0.35714285714285715,0.6122326986454716,0.2857142857142857,35,51,21,14,30,145,0.6,0.4117647058823529
felt touch,ASD,sadness,0.3404255319148936,0.15,0.5184109838272783,0.2857142857142857,35,12,8,27,4,171,0.22857142857142856,0.6666666666666666
felt touch,ASD,gratitude,0.2692307692307692,0.10914223246627379,0.4363234702437858,0.2857142857142857,35,17,7,28,10,165,0.2,0.4117647058823529
felt touch,Control,attention,0.7252747252747253,0.6,0.823529411764706,0.2857142857142857,34,57,33,1,24,146,0.9705882352941176,0.5789473684210527
felt touch,Control,love,0.7164179104477613,0.5625898764297366,0.8234884688625215,0.2857142857142857,34,33,24,10,9,161,0.7058823529411765,0.7272727272727273
felt touch,Control,happiness,0.7586206896551724,0.6123246627026863,0.8666413879892482,0.2857142857142857,34,24,22,12,2,168,0.6470588235294118,0.9166666666666666
felt touch,Control,calming,0.48780487804878053,0.3544407533976339,0.6111111111111112,0.2857142857142857,34,48,20,14,28,142,0.5882352941176471,0.4166666666666667
felt touch,Control,sadness,0.2978723404255319,0.12903225806451613,0.46145703502946955,0.2857142857142857,34,13,7,27,6,164,0.20588235294117646,0.5384615384615384
felt touch,Control,gratitude,0.2608695652173913,0.0975609756097561,0.43902439024390244,0.2857142857142857,34,12,6,28,6,164,0.17647058823529413,0.5
viewed touch,ASD,attention,0.7058823529411765,0.5424511712505562,0.8371878181219403,0.2857142857142857,19,32,18,1,14,81,0.9473684210526315,0.5625
viewed touch,ASD,love,0.9142857142857143,0.8,1,0.2857142857142857,19,16,16,3,0,95,0.8421052631578947,1
viewed touch,ASD,happiness,0.7333333333333334,0.5004097592065407,0.888888888888889,0.2857142857142857,19,11,11,8,0,95,0.5789473684210527,1
viewed touch,ASD,calming,0.6923076923076923,0.5217391304347827,0.8235294117647058,0.2857142857142857,19,33,18,1,15,80,0.9473684210526315,0.5454545454545454
viewed touch,ASD,sadness,0,0,0,0.2857142857142857,19,3,0,19,3,92,0,0
viewed touch,ASD,gratitude,0.07692307692307693,0,0.2497459492919451,0.2857142857142857,19,7,1,18,6,89,0.05263157894736842,0.14285714285714285
viewed touch,Control,attention,0.7759562841530055,0.7065991193713447,0.8397435612048587,0.2857142857142857,73,110,71,2,39,326,0.9726027397260274,0.6454545454545455
viewed touch,Control,love,0.832214765100671,0.7627353513751668,0.8918918918918919,0.2857142857142857,73,76,62,11,14,351,0.8493150684931506,0.8157894736842105
viewed touch,Control,happiness,0.5945945945945946,0.4742268041237113,0.6969559496370101,0.2857142857142857,73,38,33,40,5,360,0.4520547945205479,0.868421052631579
viewed touch,Control,calming,0.5543478260869565,0.46860260641479484,0.6350672677242452,0.2857142857142857,73,111,51,22,60,305,0.6986301369863014,0.4594594594594595
viewed touch,Control,sadness,0.20454545454545453,0.09523809523809523,0.30927835051546393,0.2857142857142857,73,15,9,64,6,359,0.1232876712328767,0.6
viewed touch,Control,gratitude,0.1386138613861386,0.044483379418859034,0.22429906542056077,0.2857142857142857,73,28,7,66,21,344,0.0958904109589041,0.25
